素材类型,素材语言,创意主题,创意搜集人,创意提需人,模板制作人,素材制作人,素材制作时间,spend,installs,subs,gross_after,days,cpa,cpi,sub_rate,roi,daily_aligned_cpa_saving,daily_aligned_cpi_saving,explain_share_of_net_saving,old_same_theme_best_package,old_same_theme_spend,old_same_theme_subs,old_same_theme_cpa,old_same_theme_cpi,old_same_theme_sub_rate,same_theme_cpa_gap_old_minus_new,same_theme_amount_at_new_subs
新选题,英语,双人修改背景+通用+原,创意搜集QCH,创意提需QCH,模板制作ZN,素材制作LQX,20260318,10.55,34.0,5.0,13.370000000000001,6,2.1100000000000003,0.31029411764705883,0.14705882352941177,1.2672985781990522,0.2178168218218155,-6.131763685753312,1.2637193131232699e-05,,,,,,,,
老选题,英语,情侣夜晚淋雨+情侣+西装服饰模特+原,创意搜集QCH,创意提需ZXL,模板制作CF,素材制作ZZS,20260318,7.25,24.0,3.0,7.13,3,2.4166666666666665,0.3020833333333333,0.125,0.983448275862069,-0.7583388704318947,-4.142287410951893,-4.3996945159764924e-05,,,,,,,,
新选题,英语,3D小人跳舞+男女+原,创意搜集QCH,创意提需QCH,模板制作MJ,素材制MJ,20260311,5.55,25.0,2.0,4.050000000000001,7,2.775,0.222,0.08,0.7297297297297298,-0.8243686594466264,-2.1039154976725043,-4.7827830163111066e-05,,,,,,,,
老选题,英语,黑白马场写真+test+竞,创意搜集ZXL,创意提需ZXL,模板制作FDJ,素材制作FDJ,20260320,5.14,22.0,2.0,4.45,4,2.57,0.23363636363636361,0.09090909090909091,0.8657587548638134,-0.9154627018713146,-2.3507900850860852,-5.311288114125454e-05,,,,,,,,
新选题,英语,情侣双人舞+测试+竞,创意搜集ZXL,创意提需ZXL,模板制作CF,素材制作WXR,20260313,1.11,0.0,0.0,0.0,1,,,,0.0,-1.11,-1.11,-6.439945390050398e-05,,,,,,,,
新选题,英语,老人变成青年3.09测试,创意搜集TXH,创意提需TXH,模板制作ZZS,素材制作ZZS,20260309,11.09,50.0,4.0,8.11,5,2.7725,0.2218,0.08,0.7312894499549143,-1.2361084272678475,-4.234064815186798,-7.171595286293714e-05,,,,,,,,
新选题,英语,摩罗多舞动作+单女+原,创意搜集QCH,创意提需人QCH,模板制作CF,素材制作ZZS,20260313,2.31,4.0,0.0,0.0,2,,0.5775,0.0,0.0,-2.31,-1.6703970179147658,-0.00013402048514429206,,,,,,,,
新选题,英语,警服变装+测试+竞,创意搜集ZXL,创意提需ZXL,模板制作MJ,素材制作WXR,20260313,2.91,2.0,0.0,0.0,1,,1.455,0.0,0.0,-2.91,-2.590198508957383,-0.00016883100076618612,,,,,,,,
老选题,英语,情侣跃出海平面+青年模特+原,创意搜集ZHC,创意提需TXH,模板制作MJ,素材制作FDJ,20260313,2.98,1.0,0.0,0.0,1,,2.98,0.0,0.0,-2.98,-2.8298939801955005,-0.0001728922275887404,,,,,,,,
老选题,英语,情侣跃出海平面+低种姓模特+原,创意搜集ZHC,创意提需TXH,模板制作MJ,素材制作FDJ,20260313,5.29,4.0,1.0,-0.43,1,5.29,1.3225,0.25,-0.08128544423440454,-3.0056663439819298,-4.689575920782002,-0.00017438132536897353,,,,,,,,
老选题,英语,大人抖腿舞+白发男模特+竞,创意搜集TXH,创意提需TXH,模板制作ZN,素材制作WXR,20260318,9.69,60.0,3.0,4.75,4,3.23,0.1615,0.05,0.4901960784313726,-3.1983388704318942,-1.89944410268326,-0.00018555970868880067,,,,,,,,
新选题,印地语,变形黑白锁屏壁纸+父子+竞,创意搜集ZXL,创意提需ZJX,模板制作CF,素材制作ZZS,20260324,5.67,22.0,1.0,-0.8,2,5.67,0.25772727272727275,0.045454545454545456,-0.14109347442680778,-3.2319618635738157,-2.745946306868829,-0.00018751043156883682,,,,,,,,
