素材类型,素材语言,创意主题,创意搜集人,创意提需人,模板制作人,素材制作人,素材制作时间,spend,installs,subs,gross_after,days,cpa,cpi,sub_rate,roi,daily_aligned_cpa_saving,daily_aligned_cpi_saving,explain_share_of_net_saving,old_same_theme_best_package,old_same_theme_spend,old_same_theme_subs,old_same_theme_cpa,old_same_theme_cpi,old_same_theme_sub_rate,same_theme_cpa_gap_old_minus_new,same_theme_amount_at_new_subs
老选题,英语,情侣玫瑰写真+下沉市场模特+竞,创意搜集TXH,创意提需TXH,模板制作ZN,素材制作WXX,"kg5at,kd326,kw6pc",0.0,1.0,0.0,0.0,1,,0.0,0.0,,0.0,0.16998809830159547,-0.0,,,,,,,,
老选题,英语,test恶魔夫妇+中年模特+竞,创意搜集ZXL,创意提需ZXL,模板制作ZXL,素材制作ZN,20260326,0.0,0.0,0.0,0.0,2,,,,,0.0,0.0,-0.0,,,,,,,,
老选题,英语,变形双重构图在雨中+高种姓男女模特+原,创意搜集TXH,创意提需LXQ,模板制作ZXL,素材制作FDJ,20260319,0.0,0.0,0.0,0.0,2,,,,,0.0,0.0,-0.0,,,,,,,,
老选题,英语,跑车彩绘墙侧面+街头风女模特+竞,创意搜集ZXL,创意提需TXH,模板制作FDJ,素材制作LQX,20260324,0.0,0.0,0.0,0.0,4,,,,,0.0,0.0,-0.0,,,,,,,,
新选题,印地语,恶搞发型卡牌+通+原,创意搜集ZJX,创意提需ZJX,模板制作CF,素材制作WXR,20260326,0.0,0.0,0.0,0.0,2,,,,,0.0,0.0,-0.0,,,,,,,,
新选题,英语,火焰魔法师+高种姓男女模特+原,创意搜集WXY,创意提需QCH,模板制作CF,素材制作ZZS,20260319,0.0,0.0,0.0,0.0,3,,,,,0.0,0.0,-0.0,,,,,,,,
老选题,英语,划线职业变装+下沉市场男模特+竞,创意搜集TXH,创意提需TXH,模板制作FDJ,素材制作WXR,20260407,11.02,29.0,3.0,3.45,4,3.6733333333333333,0.38,0.10344827586206896,0.31306715063520874,-1.0241176470588247,-6.71030457112985,0.001750219114929721,,,,,,,,
老选题,英语,划线变装+纱丽女模特,创意搜集TXH,创意提需TXH,模板制作FDJ,素材制作WXX,20260403,7.41,19.0,2.0,2.24,4,3.705,0.39,0.10526315789473684,0.30229419703103916,-1.121064824408597,-4.732531450362777,0.0019159020356599278,,,,,,,,
老选题,英语,情侣玫瑰写真+高种姓男低种姓女+竞,创意搜集TXH,创意提需TXH,模板制作ZN,素材制作WXX,20260407,4.32,7.0,1.0,0.52,3,4.32,0.6171428571428572,0.14285714285714285,0.12037037037037036,-1.1761829025844932,-3.291677272516141,0.002010098941922303,,,,,,,,
新选题,印地语,夜晚集市画海娜+情侣+原,创意搜集LXQ,创意提需LXQ,模板制作LQX,素材制作LQX,20260401,1.75,0.0,0.0,0.0,1,,,,0.0,-1.75,-1.75,0.002990753513449692,,,,,,,,
新选题,印地语,炫光特效+通用+竞,创意搜集TXH,创意提需TXH,模板制作LQX,素材制作LQX,20260401,4.67,7.0,1.0,0.18,2,4.67,0.6671428571428571,0.14285714285714285,0.03854389721627409,-1.786597377678286,-3.6919460414374488,0.0030532985053779087,,,,,,,,
新选题,印地语,表情手势舞+通用+原,创意搜集TXH,创意提需QCH,模板制作ZXL,素材制作WXX,20260403,2.03,1.0,0.0,0.0,1,,2.03,0.0,0.0,-2.03,-1.8830967532165914,0.0034692740756016426,,,,,,,,
