package,素材类型,素材语言,创意主题,创意搜集人,创意提需人,模板制作人,素材制作人,素材制作时间,spend,installs,subs,gross_after,days,cpa,cpi,sub_rate,roi,cpa_pull,cpi_pull,group,period
Minimix,老选题,英语,（修改）大人抖腿舞+母子+竞,创意搜集TXH,创意提需TXH,模板制作ZN,素材制WXR,20260327,145.59,572.0,49.0,89.9,11,2.9712244897959184,0.25452797202797206,0.08566433566433566,0.6174874647984065,-2.000484384737072,-65.41763560016022,Beatmo,2026-03-31~2026-04-17
Minimix,老选题,英语,双重情侣站在轮船上+日常服饰+原,创意搜集LXQ,创意提需ZXL,模板制作LQX,素材制作ZN,20260330,23.91,65.0,7.0,9.81,7,3.415714285714286,0.3678461538461538,0.1076923076923077,0.410288582183187,-2.0952862477865613,-14.424795355250698,Beatmo,2026-03-31~2026-04-17
Viyo,老选题,英语,手臂纹身+男生侧脸+竞,创意搜集TXH,创意提需TXH,模板制作ZN,素材制作WXR,20260331,8.88,10.0,2.0,0.81,3,4.44,0.8880000000000001,0.2,0.09121621621621621,-2.1748601482189818,-7.371691493595191,Beatmo,2026-03-31~2026-04-17
CoupleLens,新选题,印地语,雨夜分手+男+原,创意搜集LXQ,创意提需LXQ,模板制作WXX,素材制作JYY,20260402,10.49,23.0,3.0,3.9700000000000006,5,3.4966666666666666,0.45608695652173914,0.13043478260869565,0.37845567206863684,-2.186244704098382,-7.380739029357786,Beatmo,2026-03-31~2026-04-17
CoupleLens,老选题,印地语,夜晚集市+高种姓男+原,创意搜集LXQ,创意提需ZXL,模板制作FDJ,素材制作WXR,20260331,11.81,12.0,3.0,2.6800000000000006,6,3.936666666666667,0.9841666666666667,0.25,0.22692633361558007,-2.3503093478269528,-10.000029792314228,Beatmo,2026-03-31~2026-04-17
Vimi,老选题,英语,竞品选题图片版+情侣拍立得+中年夫妇,创意搜集ZXL,创意提需ZXL,模板制作GHF,素材制作GHF,260213,5.37,13.0,1.0,-0.5,1,5.37,0.41307692307692306,0.07692307692307693,-0.0931098696461825,-2.4694511378848727,-3.8114745753333703,Beatmo,2026-03-31~2026-04-17
CoupleLens,新选题,印地语,农村彩虹+情侣+原,创意搜集ZJX,创意提需ZJX,模板制作LQX,素材制作JYY,20260402,5.49,9.0,1.0,-0.62,2,5.49,0.61,0.1111111111111111,-0.11293260473588342,-2.638987382724038,-4.277959105704724,Beatmo,2026-03-31~2026-04-17
Vimi,老选题,英语,复制青少年模特日常服饰+情侣拍立得,创意搜集ZXL,创意提需ZXL,模板制作ZXL,素材制作FDJ,20260228,12.68,87.0,3.0,1.83,7,4.226666666666667,0.14574712643678162,0.034482758620689655,0.14432176656151421,-2.684117647058825,0.24804961036331238,Beatmo,2026-03-31~2026-04-17
CoupleLens,新选题,印地语,游戏cg风格+通用+原,创意搜集ZJX,创意提需ZJX,模板制作ZXL,素材制作ZXL,20260402,5.73,5.0,1.0,-0.85,2,5.73,1.1460000000000001,0.2,-0.1483420593368237,-2.878987382724038,-5.056643947613736,Beatmo,2026-03-31~2026-04-17
CoupleLens,老选题,英语,couplelens02历史跑出素材汇总,创意搜集,创意提需,模板制作,素材制作,20260410,6.21,26.0,1.0,-1.32,3,6.21,0.23884615384615385,0.038461538461538464,-0.21256038647342995,-3.1196421052631575,-2.0964065531364513,Beatmo,2026-03-31~2026-04-17
Minimix,老选题,英语,手臂纹身+女生眼睛+竞,创意搜集TXH,创意提需ZXL,模板制作ZN,素材制FDJ,20260330,6.49,15.0,1.0,-1.6,2,6.49,0.4326666666666667,0.06666666666666667,-0.2465331278890601,-3.4129760289461784,-4.302256142005746,Beatmo,2026-03-31~2026-04-17
CoupleLens,老选题,印地语,双重情侣轮船看雪山+高种姓模特+原,创意搜集LXQ,创意提需TXH,模板制作LQX,素材制作WXX,20260403,6.79,19.0,1.0,-1.89,5,6.79,0.35736842105263156,0.05263157894736842,-0.27835051546391754,-3.6448819218241044,-4.112531450362776,Beatmo,2026-03-31~2026-04-17
CoupleLens,新选题,印地语,炫光特效+通用+竞,创意搜集TXH,创意提需TXH,模板制作LQX,素材制作LQX,20260401,9.17,6.0,2.0,0.52,6,4.585,1.5283333333333333,0.3333333333333333,0.05670665212649946,-3.6608983992159425,-8.354254639856814,Beatmo,2026-03-31~2026-04-17
CoupleLens,老选题,英语,双重构图在雨中+下沉市场女军装男+竞,创意搜集TXH,创意提需TXH,模板制作ZXL,素材制作LQX,20260331,14.07,22.0,3.0,0.48,4,4.69,0.6395454545454545,0.13636363636363635,0.03411513859275053,-4.012290222328472,-10.751721285909419,Beatmo,2026-03-31~2026-04-17
Vimi,老选题,英语,手臂纹身+小女孩侧脸+竞,创意搜集TXH,创意提需TXH,模板制作ZN,素材制作WXR,20260331,13.66,52.0,3.0,0.8800000000000003,5,4.553333333333334,0.26269230769230767,0.057692307692307696,0.06442166910688144,-4.071457525897268,-5.831669057311606,Beatmo,2026-03-31~2026-04-17
CoupleLens,老选题,英语,划线变装+下沉市场女模特+竞,创意搜集TXH,创意提需TXH,模板制作FDJ,素材制作WXX,20260403,10.47,19.0,2.0,-0.74,8,5.235,0.5510526315789473,0.10526315789473684,-0.07067812798471823,-4.179763843648209,-7.79884773587653,Beatmo,2026-03-31~2026-04-17
CoupleLens,老选题,英语,划线变装+纱丽女模特,创意搜集TXH,创意提需TXH,模板制作FDJ,素材制作WXX,20260403,13.88,33.0,3.0,0.66,7,4.626666666666667,0.42060606060606065,0.09090909090909091,0.04755043227665706,-4.444645765472314,-9.24063027810134,Beatmo,2026-03-31~2026-04-17
CoupleLens,新选题,印地语,集市奔跑+情侣+原,创意搜集ZJX,创意提需ZJX,模板制作ZXL,素材制作ZXL,20260402,13.14,13.0,3.0,1.38,4,4.38,1.0107692307692309,0.23076923076923078,0.1050228310502283,-4.489792133034859,-11.323614076955263,Beatmo,2026-03-31~2026-04-17
CoupleLens,新选题,印地语,漂浮在水面上+单女+原,创意搜集GMY,创意提需QCH,模板制作CF,素材制作WXX,20260403,7.78,9.0,1.0,-2.85,5,7.78,0.8644444444444445,0.1111111111111111,-0.36632390745501286,-4.636182902584493,-6.457870778949324,Beatmo,2026-03-31~2026-04-17
CoupleLens,新选题,印地语,飞机抓捕新闻照+通用+原,创意搜集TXH,创意提需ZJX,模板制作LQX,素材制作LQX,20260403,8.07,8.0,1.0,-3.14,3,8.07,1.00875,0.125,-0.38909541511771994,-4.926182902584493,-6.894774025732733,Beatmo,2026-03-31~2026-04-17
CoupleLens,新选题,印地语,可爱旋转舞+男女通用+原,创意搜集QCH,创意提需QCH,模板制作ZXL,素材制作FDJ,20260403,52.31999999999999,164.0,15.0,19.97,9,3.4879999999999995,0.3190243902439024,0.09146341463414634,0.3816896024464832,-4.961590044265286,-28.811146085323028,Beatmo,2026-03-31~2026-04-17
CoupleLens,老选题,英语,划线变装+高种姓女模特+竞,创意搜集TXH,创意提需ZXL,模板制作FDJ,素材制作FDJ,20260402,13.6,35.0,3.0,0.94,7,4.533333333333333,0.38857142857142857,0.08571428571428572,0.06911764705882353,-5.046962148172113,-8.886507633296148,Beatmo,2026-03-31~2026-04-17
